Nspikes,OHK-OR_CA1,Rmax_OHK-OR_CA1,Nspikes,OHK-OR_SUB,Rmax_OHK-OR_SUB,Nspikes,OHK-AND_CA1,Rmax_OHK-AND_CA1,Nspikes,OHK-AND_SUB,Rmax_OHK-AND_SUB,Poss_Nspikes,OHK-PossOR_CA1,Rmax_OHK-PossOR_CA1,Poss_Nspikes,OHK-PossOR_SUB,Rmax_OHK-PossOR_SUB,Poss_Nspikes,OHK-PossAND_CA1,Rmax_OHK-PossAND_CA1,Poss_Nspikes,OHK-PossAND_SUB,Rmax_OHK-PossAND_SUB
1.0,0.36781038400000005,0.3872472758,1.0,0.19704515613333332,0.2222566936833333,1.0,0.0,0.3872472758,1.0,0.0,0.2222566936833333,27.666666666666668,0.20654109680000002,0.23098404445,27.666666666666668,0.1582189515,0.17357390816666665,27.666666666666668,0.0,0.23098404445,27.666666666666668,0.38340247163333335,0.17357390816666665
0.0,0.3136317033,0.3522754641,0.0,0.2593705509,0.3067553278666667,0.0,0.0,0.3522754641,0.0,0.0,0.3067553278666667,2.3333333333333335,0.2094588809,0.225530921,2.3333333333333335,0.1678380935,0.2230980127166667,2.3333333333333335,0.0,0.225530921,2.3333333333333335,0.4181656601,0.2230980127166667
0.0,0.3363422662,0.35004976495,0.0,0.19312315653333334,0.22227692983333336,0.0,0.0,0.35004976495,0.0,0.0,0.22227692983333336,34.666666666666664,0.19412815790000001,0.204890341,34.666666666666664,0.15501481693333333,0.1682850886,34.666666666666664,0.0,0.204890341,34.666666666666664,0.40629804926666674,0.1682850886
35.0,0.3617738857,0.38291598645,35.0,0.1967212998,0.21975952595,35.0,0.0,0.38291598645,35.0,0.3258160026,0.21975952595,31.0,0.1935035116,0.22781722705000002,31.0,0.1635577513,0.1636200674,31.0,0.0,0.22781722705000002,31.0,0.3774225939,0.1636200674
26.5,0.3559690795,0.378642311,26.5,0.18947844290000002,0.23900021385,26.5,0.5793801643000001,0.378642311,26.5,0.41364766735,0.23900021385,23.5,0.2043088965,0.22274314685000002,23.5,0.1620940367,0.17563533852500002,23.5,0.0,0.22274314685000002,23.5,0.4305437138,0.17563533852500002
19.5,0.3748770376,0.3962301896,19.5,0.20391650755000001,0.2277266937,19.5,0.0,0.3962301896,19.5,0.46623426600000006,0.2277266937,20.0,0.20774819830000002,0.20653375625,20.0,0.16098027995,0.186348528525,20.0,0.0,0.20653375625,20.0,0.41819873255,0.186348528525
27.333333333333332,0.3562690517,0.35686196525,27.333333333333332,0.1933441371,0.24378515621666672,27.333333333333332,0.0,0.35686196525,27.333333333333332,0.3435283852666667,0.24378515621666672,24.0,0.2333134158,0.2577511233,24.0,0.15952678496666667,0.17465555043333336,24.0,0.0,0.2577511233,24.0,0.4179246556666667,0.17465555043333336
77.0,0.37704295375,0.392342267375,77.0,0.16357648200000002,0.2109072385,77.0,0.0,0.392342267375,77.0,0.34105777870000004,0.2109072385,77.0,0.2477571664,0.28280707052500004,77.0,0.1526459168,0.16320697890000002,77.0,0.0,0.28280707052500004,77.0,0.3478524938,0.16320697890000002
43.0,0.35374057130000003,0.372056962825,43.0,0.18818292940000003,0.21926415267500002,43.0,0.0,0.372056962825,43.0,0.3803352711,0.21926415267500002,29.0,0.2299962198,0.2920209089,29.0,0.1580583808,0.170220488,29.0,0.0,0.2920209089,29.0,0.34676093355000004,0.170220488
31.666666666666668,0.34918925825,0.36367293720000005,31.666666666666668,0.18936756483333336,0.23270225620000004,31.666666666666668,0.0,0.36367293720000005,31.666666666666668,0.39885435306666667,0.23270225620000004,36.0,0.19164367059999998,0.269547876675,36.0,0.1622303706,0.17205706468333334,36.0,0.0,0.269547876675,36.0,0.3999825283666667,0.17205706468333334
31.5,0.3716130998,0.4017176407,31.5,0.1980248534,0.22154417925000003,31.5,0.0,0.4017176407,31.5,0.3205133875,0.22154417925000003,28.0,0.26124569610000004,0.27780543595,28.0,0.15141618890000003,0.17622372655000001,28.0,0.0,0.27780543595,28.0,0.36748953135,0.17622372655000001
37.0,0.39020685590000004,0.3880965466,37.0,0.18310271616666665,0.22100372646666666,37.0,0.0,0.3880965466,37.0,0.37566974033333334,0.22100372646666666,41.0,0.22674435355,0.28082120110000003,41.0,0.16010902366666666,0.16517026813333335,41.0,0.0,0.28082120110000003,41.0,0.3949243056666667,0.16517026813333335
98.0,0.42562870015,0.394368996175,98.0,0.1690917207,0.24371043840000003,98.0,0.0,0.394368996175,98.0,0.32045158696666665,0.24371043840000003,92.66666666666667,0.25224162815,0.26894188385,92.66666666666667,0.1542528707666667,0.15992671956666668,92.66666666666667,0.0,0.26894188385,92.66666666666667,0.29945527596666666,0.15992671956666668
88.0,0.3609153544,0.3904765936,88.0,0.19674655176666667,0.2735671334166667,88.0,0.0,0.3904765936,88.0,0.36988280803333334,0.2735671334166667,76.66666666666667,0.20290318200000002,0.21427350325,76.66666666666667,0.1523157346,0.16237515181666665,76.66666666666667,0.0,0.21427350325,76.66666666666667,0.30385739856666666,0.16237515181666665
7.333333333333333,0.4291751636,0.3848777962,7.333333333333333,0.2421757359,0.3007202902166667,7.333333333333333,0.0,0.3848777962,7.333333333333333,0.5049071958666668,0.3007202902166667,2.3333333333333335,0.2248828737,0.23815430345,2.3333333333333335,0.16694613096666666,0.20556303108333338,2.3333333333333335,0.0,0.23815430345,2.3333333333333335,0.5793801643000001,0.20556303108333338
27.666666666666668,0.3623898712,0.38486000033333334,27.666666666666668,0.22228133833333333,0.2478009154833333,27.666666666666668,0.0,0.38486000033333334,27.666666666666668,0.42872162519999996,0.2478009154833333,29.0,0.1872321376666667,0.2087707184666667,29.0,0.16498517229999998,0.1724222329666667,29.0,0.5793801643000001,0.2087707184666667,29.0,0.3698376055333334,0.1724222329666667
44.666666666666664,0.39779660340000006,0.39058841575,44.666666666666664,0.19177174640000003,0.23646553933333334,44.666666666666664,0.0,0.39058841575,44.666666666666664,0.36766713340000007,0.23646553933333334,44.0,0.21810446890000001,0.23367683674999998,44.0,0.15448744553333335,0.1708661970166667,44.0,0.0,0.23367683674999998,44.0,0.3643087811666667,0.1708661970166667
44.666666666666664,0.3892559866,0.405059692475,44.666666666666664,0.19177174640000003,0.23646553933333334,44.666666666666664,0.0,0.405059692475,44.666666666666664,0.36766713340000007,0.23646553933333334,47.0,0.2146701671,0.226991024875,47.0,0.15150845736666668,0.17263530195000001,47.0,0.0,0.226991024875,47.0,0.3428572088,0.17263530195000001
50.333333333333336,0.21286513325,0.297287818475,50.333333333333336,0.20114074790000003,0.2182401561666667,50.333333333333336,0.0,0.297287818475,50.333333333333336,0.41010858803333333,0.2182401561666667,47.666666666666664,0.16555863604999999,0.1913578235,47.666666666666664,0.15392901756666666,0.16521710030000003,47.666666666666664,0.41654052095000005,0.1913578235,47.666666666666664,0.4078591698666667,0.16521710030000003
16.666666666666668,0.38235313386666664,0.38972314703333333,16.666666666666668,0.25353743053333333,0.31172168031666664,16.666666666666668,0.0,0.38972314703333333,16.666666666666668,0.4370378450666667,0.31172168031666664,15.333333333333334,0.19297170763333335,0.23079022203333333,15.333333333333334,0.15439019543333332,0.18065303793333334,15.333333333333334,0.0,0.23079022203333333,15.333333333333334,0.45640279133333334,0.18065303793333334
9.666666666666666,0.38151875230000004,0.38795612420000003,9.666666666666666,0.25383253643333337,0.3253028379666667,9.666666666666666,0.0,0.38795612420000003,9.666666666666666,0.4486958239,0.3253028379666667,13.0,0.2121746777,0.23670628825,13.0,0.16317353213333333,0.1777155884,13.0,0.0,0.23670628825,13.0,0.4016389783666667,0.1777155884
4.666666666666667,0.37474635770000003,0.4034815466,4.666666666666667,0.23288951950000003,0.3253376611166667,4.666666666666667,0.0,0.4034815466,4.666666666666667,0.5446241571333333,0.3253376611166667,6.0,0.1896324781,0.19929685265000002,6.0,0.17017694490000002,0.19012003800000002,6.0,0.0,0.19929685265000002,6.0,0.4426344295,0.19012003800000002
17.666666666666668,0.32359949650000003,0.3438237143,17.666666666666668,0.2098488846666667,0.2306335752833333,17.666666666666668,0.0,0.3438237143,17.666666666666668,0.4413207931666667,0.2306335752833333,19.0,0.1958461153,0.22434546375,19.0,0.1625026655,0.18081798975000005,19.0,0.0,0.22434546375,19.0,0.4602857628333334,0.18081798975000005
29.0,0.3719454084,0.3799673584,29.0,0.23468883643333335,0.26922260091666667,29.0,0.0,0.3799673584,29.0,0.35793616603333334,0.26922260091666667,20.333333333333332,0.2052866348,0.22485094155000002,20.333333333333332,0.162527977,0.17085062681666666,20.333333333333332,0.0,0.22485094155000002,20.333333333333332,0.40540383583333334,0.17085062681666666
22.666666666666668,0.3360766176,0.3495684737,22.666666666666668,0.19532725706666668,0.22262310105000002,22.666666666666668,0.0,0.3495684737,22.666666666666668,0.4342686176333334,0.22262310105000002,22.666666666666668,0.2116228649,0.2234751798,22.666666666666668,0.1668553974,0.17840654118333332,22.666666666666668,0.0,0.2234751798,22.666666666666668,0.37982017720000005,0.17840654118333332
12.666666666666666,0.3621374533,0.38855737835000004,12.666666666666666,0.21916553653333337,0.30324528455,12.666666666666666,0.0,0.38855737835000004,12.666666666666666,0.49260414813333336,0.30324528455,11.0,0.1906419983,0.22374455835,11.0,0.165549889,0.18641002768333334,11.0,0.0,0.22374455835,11.0,0.43301101500000005,0.18641002768333334
15.333333333333334,0.36038614680000003,0.35629598640000004,15.333333333333334,0.22312361636666667,0.27445219545,15.333333333333334,0.0,0.35629598640000004,15.333333333333334,0.43967407156666666,0.27445219545,14.666666666666666,0.1983476664,0.2056949788,14.666666666666666,0.16500441973333332,0.1845415087333334,14.666666666666666,0.0,0.2056949788,14.666666666666666,0.4273105746333334,0.1845415087333334
4.0,0.37392052740000004,0.38077165165000004,4.0,0.24379929806666667,0.30867021298333336,4.0,0.0,0.38077165165000004,4.0,0.4828168036,0.30867021298333336,6.0,0.2127184992,0.2146987956,6.0,0.16423552833333332,0.19314867278333336,6.0,0.0,0.2146987956,6.0,0.5514328376333334,0.19314867278333336
