Rmax_OHS,OHS-AND_CA1,Rmax_OHS,OHS-OR_CA1,PossRmax_OHS,OHS-PossAND_CA1,PossRmax_OHS,OHS-PossOR_CA1
0.8076268853,nan,0.8076268853,0.7727776484000001,0.9099538883,nan,0.9099538883,0.9056031610666667
0.7941439228,nan,0.7941439228,0.7671575366000001,0.8786593316,nan,0.8786593316,0.8929829808
0.7650805123000001,nan,0.7650805123000001,0.7752358665,0.9099538883,1.0,0.9099538883,0.9071266415
0.8397259754,nan,0.8397259754,0.8176732046,0.9003501028,nan,0.9003501028,0.8994576484000001
0.7961423421,nan,0.7961423421,0.7890699613000001,0.8953096544,nan,0.8953096544,0.8962338357
0.8348142038,nan,0.8348142038,0.8215213591,0.8961088937,nan,0.8961088937,0.8891965982000001
0.7924525231,nan,0.7924525231,0.8002771959,0.8961088937,nan,0.8961088937,0.9112321168
0.8216670422,nan,0.8216670422,0.7930005606,0.9060971873,nan,0.9060971873,0.8991769968000001
0.8149484057,nan,0.8149484057,0.7809374919000001,0.9099538883,1.0,0.9099538883,0.8875766088
0.7994997872,0.75,0.7994997872,0.7754594888,0.9099538883,nan,0.9099538883,0.9206174738
0.7682521216,nan,0.7682521216,0.7443208885,0.9099538883,1.0,0.9099538883,0.8967830788000001
0.8041946506000001,nan,0.8041946506000001,0.7668964887,0.9099538883,nan,0.9099538883,0.9006736817000001
0.8019217314,nan,0.8019217314,0.7877403618500001,0.8961088937,nan,0.8961088937,0.9094242317000001
0.7784516090000001,nan,0.7784516090000001,0.7966435058,0.9099538883,nan,0.9099538883,0.8750977627000001
0.8205614728,0.8277293768,0.8205614728,0.7853082723,0.9099538883,nan,0.9099538883,0.89956875405
0.8439665353,1.0,0.8439665353,0.8292679485333334,0.9159314582,0.5793801643000001,0.9159314582,0.9046501457333335
0.9183541179,0.8277293768,0.9183541179,0.8999148424000001,0.9171115011000001,0.7185463541,0.9171115011000001,0.9147056371000001
0.8745389882,0.8224908743,0.8745389882,0.8425397704,0.9175581121,0.8277293768,0.9175581121,0.9135104771
0.8059690966,1.0,0.8059690966,0.7701142674,0.9099538883,0.8277293768,0.9099538883,0.9142167137
0.8106569655,1.0,0.8106569655,0.79039293955,0.9070644502,nan,0.9070644502,0.9037028195000001
0.7934435839,nan,0.7934435839,0.7786454016500001,0.8961088937,nan,0.8961088937,0.8701170193000001
0.8087603211000001,0.75,0.8087603211000001,0.7739588389000001,0.8708013099,nan,0.8708013099,0.8858877251
0.7915762850000001,nan,0.7915762850000001,0.7573086127,0.8708013099,nan,0.8708013099,0.910042927
0.7924525231,1.0,0.7924525231,0.7788943043500001,0.8961088937,0.5793801643000001,0.8961088937,0.91736936015
0.7869414758000001,nan,0.7869414758000001,0.7862331529000001,0.8857601306,nan,0.8857601306,0.9015543873
0.8921920804000001,nan,0.8921920804000001,0.8477004467,0.9089499883000001,nan,0.9089499883000001,0.8904434212000001
0.8015146068000001,1.0,0.8015146068000001,0.80863026525,0.9102844528,nan,0.9102844528,0.91370836995
0.8305521638000001,nan,0.8305521638000001,0.7913416396,0.8708013099,nan,0.8708013099,0.8696781797
0.8574106973000001,1.0,0.8574106973000001,0.8343096802000001,0.9001582614,0.8710490643000001,0.9001582614,0.9107899153000001
0.7924525231,0.8277293768,0.7924525231,0.7742315964,0.8961088937,nan,0.8961088937,0.8988159358000001
0.8086332730000001,nan,0.8086332730000001,0.8055836935,0.8961088937,nan,0.8961088937,0.8849099205000001
0.7924525231,nan,0.7924525231,0.7974325677,0.8961088937,nan,0.8961088937,0.8989637439
0.8089245376,nan,0.8089245376,0.8261045551,0.8961088937,nan,0.8961088937,0.9037590825
0.7981153943,nan,0.7981153943,0.7490952094000001,0.9160007133,nan,0.9160007133,0.8690480208
0.7981153943,nan,0.7981153943,0.7770030738,0.9149505667000001,nan,0.9149505667000001,0.8740196883
0.7981153943,nan,0.7981153943,0.7463702899,0.9149505667000001,nan,0.9149505667000001,0.9054834559
0.7778868602,nan,0.7778868602,0.7768620054,0.8736645516,nan,0.8736645516,0.9164845675000001
0.7778868602,nan,0.7778868602,0.7720789931,0.8708013099,nan,0.8708013099,0.8953913828000001
0.8323096252000001,1.0,0.8323096252000001,0.79192689925,0.8961088937,nan,0.8961088937,0.88344040835
0.7924525231,nan,0.7924525231,0.7742930418,0.9069303995,nan,0.9069303995,0.8996871383
0.8638550756000001,1.0,0.8638550756000001,0.8275750268,0.9149868988000001,nan,0.9149868988000001,0.9016022233500001
0.8529834729,1.0,0.8529834729,0.8093795568000001,0.8838868163,1.0,0.8838868163,0.9162865697
0.7849804356000001,nan,0.7849804356000001,0.780836058,0.8708013099,nan,0.8708013099,0.916262153
0.7778868602,nan,0.7778868602,0.7686637585,0.8708013099,nan,0.8708013099,0.8979833115
0.8797265305,0.8610921298,0.8797265305,0.8654716308500001,0.9243063228,0.7419975829500001,0.9243063228,0.9173451559500001
0.8309133376000001,nan,0.8309133376000001,0.8541955465000001,0.8852445496,1.0,0.8852445496,0.9047956066
0.8934479039000001,0.7632300274,0.8934479039000001,0.8927388734,0.9191677197,0.7632300274,0.9191677197,0.9205952148000001
0.793752262,nan,0.793752262,0.8249906157,0.8971362529,nan,0.8971362529,0.9094688358
0.8036652217,nan,0.8036652217,0.8180948841,0.8961088937,1.0,0.8961088937,0.8815261097
0.8197200199,nan,0.8197200199,0.7973959820000001,0.8961088937,nan,0.8961088937,0.885209396
0.7937691003,nan,0.7937691003,0.7957504241000001,0.8961088937,nan,0.8961088937,0.9010176008
0.7956743496,nan,0.7956743496,0.7657446485,0.8961088937,nan,0.8961088937,0.9037305586000001
0.801873901,nan,0.801873901,0.7746100890500001,0.9053935073,nan,0.9053935073,0.9032038126
0.7978191636,nan,0.7978191636,0.76868616405,0.9053935073,nan,0.9053935073,0.90196610415
0.7636170885,nan,0.7636170885,0.7960959700500001,0.9160007133,1.0,0.9160007133,0.8792179911
0.7636170885,nan,0.7636170885,0.78830038115,0.9053935073,nan,0.9053935073,0.89082045965
0.7636170885,1.0,0.7636170885,0.7738411191000001,0.9080171249000001,1.0,0.9080171249000001,0.9183614229000001
0.801873901,nan,0.801873901,0.7939603693,0.8976606822000001,nan,0.8976606822000001,0.9054061174000001
