OHS-OR_CA1,OHS-XOR_CA1,OHS-PossOR_CA1,OHS-PossXOR_CA1
0.7949875957,0.7952688398000001,0.8978208633,0.8979835511
0.781314952,0.7814977488,0.8915142837000001,0.8915142837000001
0.8181876634,0.8181876634,0.8856824775000001,0.8856824775000001
0.7988502537,0.7988502537,0.870241592,0.870241592
0.81190124985,0.81190124985,0.8831819463,0.8831819463
0.81025250185,0.81025250185,0.9126962112000001,0.9126962112000001
0.8115657771,0.8115657771,0.86423086055,0.86423086055
0.76968036295,0.7696970412999999,0.88764762505,0.88764762505
0.73859001755,0.73859001755,0.864514412,0.8645750985
0.7969767899,0.7969767899,0.9072246536,0.9072246536
0.7328865145,0.7328865145,0.8872526893,0.8872526893
0.7828553598666668,0.7828553598666668,0.9088709235,0.9089020404333334
0.7601621438333334,0.7601621438333334,0.8853929064666667,0.8854065795333333
0.7644754276500001,0.7644754276500001,0.8875033241500001,0.8875033241500001
0.88828413045,0.88828413045,0.9161896617,0.91624985815
0.7727776484000001,0.7727776484000001,0.9056031610666667,0.9006281449000001
0.7671575366000001,0.7671575366000001,0.8929829808,0.8929829808
0.7752358665,0.7752358665,0.9071266415,0.9071416477
0.8176732046,0.8176732046,0.8994576484000001,0.8994196523
0.7890699613000001,0.7890699613000001,0.8962338357,0.8962338357
0.8215213591,0.8215213591,0.8891965982000001,0.889226201
0.8002771959,0.8002771959,0.9112321168,0.9113555992000001
0.7930005606,0.7930005606,0.8991769968000001,0.8992170496
0.7809374919000001,0.7809374919000001,0.8875766088,0.8876595711
0.7754594888,0.7611362481,0.9206174738,0.9205848775000001
0.7443208885,0.7443208885,0.8967830788000001,0.8969034821
0.7668964887,0.7668964887,0.9006736817000001,0.9006736817000001
0.7877403618500001,0.7877626013000001,0.9094242317000001,0.9094242317000001
0.7966435058,0.7966435058,0.8750977627000001,0.8751595866
0.7853082723,0.78540729755,0.89956875405,0.89954616425
0.8292679485333334,0.8369660846000001,0.9046501457333335,0.9047040934333334
0.8999148424000001,0.8999873612,0.9147056371000001,0.9147719419
0.8425397704,0.8428272765,0.9135104771,0.9135537702000001
0.7701142674,0.7455479425,0.9142167137,0.9143507033
0.79039293955,0.7905823751500001,0.9037028195000001,0.9037028195000001
0.7786454016500001,0.7786454016500001,0.8701170193000001,0.8700534173000001
0.7739588389000001,0.7799671585,0.8858877251,0.8858877251
0.7573086127,0.7573086127,0.910042927,0.910042927
0.7788943043500001,0.78301646465,0.91736936015,0.9174413109
0.7862331529000001,0.7862331529000001,0.9015543873,0.9015742133
0.8477004467,0.8477004467,0.8904434212000001,0.8904716305
0.80863026525,0.8087014802500001,0.91370836995,0.9137234225
0.7913416396,0.7913416396,0.8696781797,0.8696781797
0.8343096802000001,0.8343604928,0.9107899153000001,0.9107980186
0.7742315964,0.7666644770000001,0.8988159358000001,0.8988159358000001
0.8055836935,0.7864447729,0.8849099205000001,0.8849353421
0.7974325677,0.7974325677,0.8989637439,0.8989637439
0.8261045551,0.8261045551,0.9037590825,0.9037590825
0.7490952094000001,0.7490952094000001,0.8690480208,0.8690480208
