Nspikes,OHS-OR_CA1,Rmax_OHS-OR_CA1,Nspikes,OHS-OR_SUB,Rmax_OHS-OR_SUB,Nspikes,OHS-AND_CA1,Rmax_OHS-AND_CA1,Nspikes,OHS-AND_SUB,Rmax_OHS-AND_SUB,Poss_Nspikes,OHS-PossOR_CA1,Rmax_OHS-PossOR_CA1,Poss_Nspikes,OHS-PossOR_SUB,Rmax_OHS-PossOR_SUB,Poss_Nspikes,OHS-PossAND_CA1,Rmax_OHS-PossAND_CA1,Poss_Nspikes,OHS-PossAND_SUB,Rmax_OHS-PossAND_SUB
0.0,0.7772636605500001,0.8241852156,0.0,0.9090000806,0.8944624103000001,0.0,nan,0.8241852156,0.0,nan,0.8944624103000001,15.0,0.9093283091000001,0.9004927758,15.0,0.912273749,0.9011163781,15.0,0.5793801643000001,0.9004927758,15.0,0.8506077525,0.9011163781
0.0,0.8158247343,0.8241852156,0.0,0.8988296597000001,0.8772759226,0.0,nan,0.8241852156,0.0,nan,0.8772759226,5.0,0.9031917243,0.9004927758,5.0,0.9032753884,0.9131386329000001,5.0,nan,0.9004927758,5.0,0.8277293768,0.9131386329000001
1.0,0.7759315289,0.8241852156,1.0,0.9082118143000001,0.8936629299000001,1.0,nan,0.8241852156,1.0,nan,0.8936629299000001,15.0,0.8925903113,0.9160007133,15.0,0.9319956278,0.9107897608000001,15.0,nan,0.9160007133,15.0,0.8506077525,0.9107897608000001
0.0,0.7901745474,0.8241852156,0.0,0.8749613766000001,0.8764781919,0.0,nan,0.8241852156,0.0,nan,0.8764781919,17.0,0.87585071955,0.9004927758,17.0,0.9244031501000001,0.9248724817,17.0,nan,0.9004927758,17.0,0.7588769229,0.9248724817
0.0,0.7786613413000001,0.8241852156,0.0,0.8695023107000001,0.8598532773,0.0,nan,0.8241852156,0.0,nan,0.8598532773,39.0,0.88863313665,0.9080171249000001,39.0,0.9253595088000001,0.9188503857,39.0,nan,0.9080171249000001,39.0,0.8337721419,0.9188503857
0.0,0.7957049929000001,0.8196341523,0.0,0.8577843201,0.8764781919,0.0,nan,0.8196341523,0.0,nan,0.8764781919,28.0,0.8802354689,0.9077421439000001,28.0,0.9175905398,0.9248724817,28.0,nan,0.9077421439000001,28.0,0.9052427574,0.9248724817
14.0,0.7833170504,0.8238747555,14.0,0.9068442424000001,0.8944624103000001,14.0,nan,0.8238747555,14.0,0.8357523477000001,0.8944624103000001,15.0,0.87832943625,0.9077421439000001,15.0,0.9147462419,0.9107897608000001,15.0,nan,0.9077421439000001,15.0,0.8164800159000001,0.9107897608000001
0.0,0.7390179262000001,0.7981153943,0.0,0.8716500188,0.8772759226,0.0,nan,0.7981153943,0.0,nan,0.8772759226,4.0,0.8656053549,0.9149505667000001,4.0,0.9038020977000001,0.9131386329000001,4.0,nan,0.9149505667000001,4.0,0.75,0.9131386329000001
1.0,0.79661659035,0.7767742609,1.0,0.8816051134,0.8936629299000001,1.0,nan,0.7767742609,1.0,nan,0.8936629299000001,37.0,0.9014232867,0.9077421439000001,37.0,0.9281246924000001,0.9188503857,37.0,nan,0.9077421439000001,37.0,0.7970455967000001,0.9188503857
0.0,0.7592032593,0.801873901,0.0,0.9029327742000001,0.8944624103000001,0.0,nan,0.801873901,0.0,nan,0.8944624103000001,15.0,0.9049495863,0.9077421439000001,15.0,0.9157058621,0.9010448474,15.0,nan,0.9077421439000001,15.0,0.8506077525,0.9010448474
