Nspikes,MSR-OR_CA1,Rmax_MSR-OR_CA1,Nspikes,MSR-OR_SUB,Rmax_MSR-OR_SUB,Nspikes,MSR-AND_CA1,Rmax_MSR-AND_CA1,Nspikes,MSR-AND_SUB,Rmax_MSR-AND_SUB,Poss_Nspikes,MSR-PossOR_CA1,Rmax_MSR-PossOR_CA1,Poss_Nspikes,MSR-PossOR_SUB,Rmax_MSR-PossOR_SUB,Poss_Nspikes,MSR-PossAND_CA1,Rmax_MSR-PossAND_CA1,Poss_Nspikes,MSR-PossAND_SUB,Rmax_MSR-PossAND_SUB
0.0,0.29206273945000005,0.29494093732500004,0.0,0.2606985745,0.2707562775,0.0,0.0,0.29494093732500004,0.0,0.0,0.2707562775,15.0,0.2506639488,0.260051034275,15.0,0.2462283673,0.24642013065,15.0,0.2896900821,0.260051034275,15.0,0.2590611695,0.24642013065
0.0,0.29512585285000004,0.295649019275,0.0,0.2647034186,0.26682310715,0.0,0.0,0.295649019275,0.0,0.0,0.26682310715,5.0,0.2546131479,0.255691003275,5.0,0.2481436307,0.24998731850000003,5.0,0.0,0.255691003275,5.0,0.2727530949,0.24998731850000003
1.0,0.29566662555,0.293718670475,1.0,0.2626912115,0.27109261355000003,1.0,0.0,0.293718670475,1.0,0.0,0.27109261355000003,15.0,0.2575159603,0.25798770402500004,15.0,0.2448323161,0.24928198275000002,15.0,0.0,0.25798770402500004,15.0,0.2940001295,0.24928198275000002
0.0,0.29420399645,0.29444966940000006,0.0,0.2752570131,0.28074229735,0.0,0.0,0.29444966940000006,0.0,0.0,0.28074229735,17.0,0.25474848125,0.2579785968,17.0,0.2436041069,0.24767215460000003,17.0,0.0,0.2579785968,17.0,0.2769109477,0.24767215460000003
0.0,0.29466418505,0.295478611275,0.0,0.2732156907,0.27598332815000004,0.0,0.0,0.295478611275,0.0,0.0,0.27598332815000004,39.0,0.2524448252,0.25866347215,39.0,0.24064479360000002,0.2460963431,39.0,0.0,0.25866347215,39.0,0.2751239976,0.2460963431
0.0,0.2944533367,0.29434569725000004,0.0,0.2791532142,0.27941007775000004,0.0,0.0,0.29434569725000004,0.0,0.0,0.27941007775000004,28.0,0.2639720835,0.2608998277,28.0,0.2441446387,0.24617671545000003,28.0,0.0,0.2608998277,28.0,0.2593251959,0.24617671545000003
14.0,0.29509925375,0.29474249275000003,14.0,0.2609451796,0.2710770532,14.0,0.0,0.29474249275000003,14.0,0.2898287436,0.2710770532,15.0,0.2609803128,0.27036234465000003,15.0,0.2420126642,0.2479036672,15.0,0.0,0.27036234465000003,15.0,0.2577744262,0.2479036672
0.0,0.29404459980000003,0.29669008605,0.0,0.2683516453,0.26714388285,0.0,0.0,0.29669008605,0.0,0.0,0.26714388285,4.0,0.2657846826,0.25840190505000005,4.0,0.2479341286,0.25147085505,4.0,0.0,0.25840190505000005,4.0,0.2264097656,0.25147085505
1.0,0.29738199460000003,0.296070642825,1.0,0.2712323457,0.2748945397,1.0,0.0,0.296070642825,1.0,0.0,0.2748945397,37.0,0.25916756275,0.2658433995,37.0,0.2415082027,0.24580051515,37.0,0.0,0.2658433995,37.0,0.288228926,0.24580051515
0.0,0.2940980327,0.295563203675,0.0,0.2671025836,0.26998826475,0.0,0.0,0.295563203675,0.0,0.0,0.26998826475,15.0,0.2565124556,0.26198388910000003,15.0,0.2445092282,0.24760783925000002,15.0,0.0,0.26198388910000003,15.0,0.2903729565,0.24760783925000002
